industry_name
专业技术服务业
专用设备制造业
互联网和相关服务
仪器仪表制造业
住宿业
体育
保险业
公共设施管理业
其他制造业
其他服务业
其他金融业
农、林、牧、渔专业及辅助性活动
农业
农副食品加工业
化学原料和化学制品制造业
化学纤维制造业
医药制造业
卫生
印刷和记录媒介复制业
商务服务业
土地管理业
土木工程建筑业
多式联运和运输代理业
家具制造业
居民服务业
广播、电视、电影和录音制作业
废弃资源综合利用业
建筑安装业
建筑装饰、装修和其他建筑业
开采专业及辅助性活动
房地产业
房屋建筑业
批发业
教育
文化艺术业
文教、工美、体育和娱乐用品制造业
新闻和出版业
有色金属冶炼和压延加工业
有色金属矿采选业
木材加工和木、竹、藤、棕、草制品业
林业
橡胶和塑料制品业
水上运输业
水利管理业
水的生产和供应业
汽车制造业
渔业
煤炭开采和洗选业
燃气生产和供应业
生态保护和环境治理业
电信、广播电视和卫星传输服务
电力、热力生产和供应业
电气机械和器材制造业
畜牧业
皮革、毛皮、羽毛及其制品和制鞋业
石油、煤炭及其他燃料加工业
石油和天然气开采业
研究和试验发展
科技推广和应用服务业
租赁业
管道运输业
纺织业
纺织服装、服饰业
综合
航空运输业
装卸搬运和仓储业
计算机、通信和其他电子设备制造业
货币金融服务
资本市场服务
软件和信息技术服务业
通用设备制造业
造纸和纸制品业
道路运输业
邮政业
酒、饮料和精制茶制造业
金属制品、机械和设备修理业
金属制品业
铁路、船舶、航空航天和其他运输设备制造业
铁路运输业
零售业
非金属矿物制品业
非金属矿采选业
食品制造业
餐饮业
黑色金属冶炼和压延加工业
黑色金属矿采选业
