date,asset,weight
2022-01-03,159520,0.0646940100948685
2022-01-03,159825,0.10751636917500787
2022-01-03,159827,0.10605420625589161
2022-01-03,159865,0.11959639848280859
2022-01-03,159867,0.06791874261261585
2022-01-03,516550,0.13120872763522484
2022-01-03,516670,0.10128262483394723
2022-01-03,516760,0.11050020487755423
2022-01-03,516810,0.09446672606677778
2022-01-03,562900,0.09676198996530345
2022-01-04,159520,0.06361175265816868
2022-01-04,159825,0.10762007566878215
2022-01-04,159827,0.10562910920274902
2022-01-04,159865,0.12026475898607036
2022-01-04,159867,0.0684115065112514
2022-01-04,516550,0.13186136897226675
2022-01-04,516670,0.10065239571415484
2022-01-04,516760,0.11149869758087472
2022-01-04,516810,0.09378519019704418
2022-01-04,562900,0.09666514450863792
2022-01-05,159520,0.06397422180153689
2022-01-05,159825,0.10889967099535118
2022-01-05,159827,0.1068336201678218
2022-01-05,159865,0.1190031562150422
2022-01-05,159867,0.06767590881575514
2022-01-05,516550,0.12860039331902223
2022-01-05,516670,0.10153589293424847
2022-01-05,516760,0.1117091157692929
2022-01-05,516810,0.09416518706949209
2022-01-05,562900,0.09760283291243713
2022-01-06,159520,0.06384292130233656
2022-01-06,159825,0.10692326612750822
2022-01-06,159827,0.10510503567829405
2022-01-06,159865,0.1203049511930865
2022-01-06,159867,0.06572398624802472
2022-01-06,516550,0.13182271382345404
2022-01-06,516670,0.10079387855810766
2022-01-06,516760,0.11569453053969084
2022-01-06,516810,0.09352152127715606
2022-01-06,562900,0.09626719525234154
2022-01-07,159825,0.11275187575536534
2022-01-07,159865,0.17247224698202496
2022-01-07,516550,0.13378327599177844
2022-01-07,516670,0.10856608779831023
2022-01-07,516760,0.19886594952015182
2022-01-07,516810,0.13882104133820164
2022-01-07,562900,0.13473952261416758
2022-01-10,159825,0.11403047613757432
2022-01-10,159865,0.17076273652405258
2022-01-10,516550,0.12958723485892706
2022-01-10,516670,0.11087130953441253
2022-01-10,516760,0.19515755861846654
2022-01-10,516810,0.14337609453023217
2022-01-10,562900,0.1362145897963348
2022-01-11,159825,0.11446899484517353
2022-01-11,159865,0.1719859216280368
2022-01-11,516550,0.1323113437430163
2022-01-11,516670,0.10989740798847489
2022-01-11,516760,0.19393402930210413
2022-01-11,516810,0.14297053240998894
2022-01-11,562900,0.1344317700832055
2022-01-12,159825,0.11617793533399692
2022-01-12,159865,0.17400031992562437
2022-01-12,516550,0.13014609211993128
2022-01-12,516670,0.10934257061172038
2022-01-12,516760,0.19603749276807317
2022-01-12,516810,0.13999619972146926
2022-01-12,562900,0.13429938951918477
2022-01-13,159825,0.11370481360408666
2022-01-13,159865,0.17373751424292858
2022-01-13,516550,0.12971707583191294
2022-01-13,516670,0.10999591270268688
2022-01-13,516760,0.1911280986246512
2022-01-13,516810,0.1470708796450788
2022-01-13,562900,0.13464570534865505
2022-01-14,159825,0.0904608851726496
2022-01-14,159827,0.09227605422786264
2022-01-14,159865,0.11724795111071613
2022-01-14,159867,0.06870568372446006
2022-01-14,516550,0.08500212986781995
2022-01-14,516670,0.11000835310367499
2022-01-14,516760,0.10620615714292629
2022-01-14,516810,0.16425810857415596
2022-01-14,561600,0.06977934621731965
2022-01-14,562900,0.09605533085841479
2022-01-17,159825,0.09321378757731795
2022-01-17,159827,0.09298162486857507
