date,code,weight
2022-01-03,159520,0.06215512071855034
2022-01-03,159825,0.10685646915559278
2022-01-03,159827,0.10769851595138098
2022-01-03,159865,0.11815928641162667
2022-01-03,159867,0.06822681304045616
2022-01-03,516550,0.1294149051833524
2022-01-03,516670,0.10138617395093386
2022-01-03,516760,0.11422411363611941
2022-01-03,516810,0.09471095313718389
2022-01-03,562900,0.0971676488148033
2022-01-07,159825,0.11275219361193564
2022-01-07,159865,0.17126217050608736
2022-01-07,516550,0.13655527419923102
2022-01-07,516670,0.106980079027726
2022-01-07,516760,0.20253848765214355
2022-01-07,516810,0.13581084085421988
2022-01-07,562900,0.13410095414865653
2022-01-14,159825,0.09039186264474922
2022-01-14,159827,0.09094481186296158
2022-01-14,159865,0.1176250729282075
2022-01-14,159867,0.06912737924435261
2022-01-14,516550,0.08705033362396569
2022-01-14,516670,0.10599736433218111
2022-01-14,516760,0.10580756880202577
2022-01-14,516810,0.1680404781988922
2022-01-14,561600,0.06991121841298477
2022-01-14,562900,0.09510390994967952
2022-01-21,159825,0.13735028672347538
2022-01-21,159827,0.09127553688221146
2022-01-21,159865,0.11805282195216578
2022-01-21,159867,0.06937876415969811
2022-01-21,516550,0.08736689619277804
2022-01-21,516670,0.10638282865544588
2022-01-21,516760,0.08006497553633993
2022-01-21,516810,0.12867727390896458
2022-01-21,517280,0.08600085626722508
2022-01-21,562900,0.09544975972169556
2022-01-28,159825,0.11500444499116631
2022-01-28,159827,0.09383069952988199
2022-01-28,159865,0.1423285935745675
2022-01-28,512600,0.0735459151854934
2022-01-28,516550,0.0898126405556162
2022-01-28,516670,0.10936090404584005
2022-01-28,516760,0.08230631031086022
2022-01-28,516810,0.10728035668023128
2022-01-28,517280,0.08840835977920411
2022-01-28,562900,0.09812177534713895
2022-02-04,159825,0.1147057868725355
2022-02-04,159827,0.09358702807706501
2022-02-04,159865,0.1419589766437818
2022-02-04,516550,0.08957940370759988
2022-02-04,516670,0.10907690178960897
2022-02-04,516760,0.08209256685258977
2022-02-04,516810,0.10700175745309165
2022-02-04,517280,0.08817876974548915
2022-02-04,517760,0.07595184857345749
2022-02-04,562900,0.09786696028478077
2022-02-11,159710,0.06150651893048608
2022-02-11,159728,0.06053514493336974
2022-02-11,159779,0.06469951956034763
2022-02-11,159865,0.16792724015357563
2022-02-11,159867,0.1248104274764287
2022-02-11,515920,0.05490219591202916
2022-02-11,516670,0.17050373446676695
2022-02-11,516760,0.1331969162021262
2022-02-11,517280,0.08699020845743183
2022-02-11,517760,0.074928093907438
2022-02-18,159672,0.06415238134617751
2022-02-18,159779,0.06418521895964087
2022-02-18,159865,0.16659237582888067
2022-02-18,159867,0.12381830144115387
2022-02-18,513230,0.06410648297211373
2022-02-18,515250,0.06514947771219447
2022-02-18,516550,0.06441052912982645
2022-02-18,516670,0.16914838942471896
2022-02-18,516760,0.13213812543396378
2022-02-18,517280,0.08629871775132955
2022-02-25,159520,0.06465655955342893
2022-02-25,159798,0.06657137810897644
2022-02-25,159865,0.12558636101713444
2022-02-25,159867,0.14891312036807147
2022-02-25,516550,0.06390736740257584
2022-02-25,516670,0.20882614436095887
2022-02-25,516760,0.10574023050099324
2022-02-25,517280,0.08562457002315689
2022-02-25,561310,0.0637138132683159
2022-02-25,562580,0.06646045539638787
2022-03-04,159865,0.13451388002173645
2022-03-04,159867,0.19620351057831326
2022-03-04,513230,0.1137676711791458
2022-03-04,515920,0.11439637362063183
2022-03-04,516550,0.10419070663572266
2022-03-04,516670,0.2236709042325015
2022-03-04,516760,0.11325695373194838
2022-03-11,159565,0.0698519072442162
2022-03-11,159793,0.0727786176105643
2022-03-11,159865,0.13438321777656342
2022-03-11,159867,0.12608456012937921
2022-03-11,159946,0.07258511211442444
2022-03-11,513230,0.07137712973642169
2022-03-11,515920,0.11428525284250463
2022-03-11,516670,0.18078615787537328
2022-03-11,516760,0.08303541625391414
2022-03-11,516810,0.07483262841663871
2022-03-18,159725,0.06694428854980054
2022-03-18,159865,0.13468853532932465
2022-03-18,159867,0.12637102320100832
2022-03-18,159946,0.07275002488526255
2022-03-18,510150,0.06614871428878147
2022-03-18,515920,0.11454490798614457
2022-03-18,516670,0.1556234893903387
2022-03-18,516760,0.11283071277433834
2022-03-18,516810,0.07500264752581681
2022-03-18,517880,0.07509565606918406
2022-03-25,159565,0.057216263020562375
2022-03-25,159725,0.06554644816032419
2022-03-25,159865,0.17496595155131395
2022-03-25,159867,0.12373231384855304
2022-03-25,159946,0.0919950159542822
2022-03-25,510150,0.06476748600855253
2022-03-25,515920,0.08549127470531617
2022-03-25,516670,0.15237396947260543
2022-03-25,516760,0.11047473393124335
2022-03-25,516810,0.0734365433472467
2022-04-01,159565,0.07953415657056398
2022-04-01,159865,0.17689217825482142
2022-04-01,159867,0.12509450166228864
2022-04-01,159946,0.07236841645592915
2022-04-01,159986,0.07091772456868166
2022-04-01,516670,0.15405147761813445
2022-04-01,516760,0.11169096703645316
2022-04-01,516810,0.07424501739350857
2022-04-01,517760,0.06958054227716011
2022-04-01,561310,0.06562501816245894
2022-04-08,159565,0.05378408015443688
2022-04-08,159865,0.17782210520960864
2022-04-08,159867,0.12575212683339068
2022-04-08,159986,0.07129054096056074
2022-04-08,510150,0.05435163607613934
2022-04-08,516670,0.15486133039328395
2022-04-08,516760,0.1509330545733793
2022-04-08,517550,0.05447216745532271
2022-04-08,517760,0.0907629476899488
2022-04-08,561310,0.06597001065392886
2022-04-15,159512,0.05161587823579284
2022-04-15,159520,0.0495314963795282
2022-04-15,159565,0.05322311978435552
